,user,text,favorite_count,retweet_count,created_at
85,F1,"Time to vote for your @salesforce Driver of the Day! 🗳️

Pick your driver here 👇

#BrazilGP #F1",1178,86,2022-11-13 19:21:54+00:00
86,F1,"LAP 56/71

RUS 📻: ""So what are we doing? Racing? Or securing the 1-2?""

Mercedes: ""You are racing, just be respectful""

#BrazilGP #F1 https://t.co/LPPXcJDKRv",15407,565,2022-11-13 19:20:53+00:00
87,F1,"FULL Safety Car! (LAP 55/71)

Norris' car proves difficult to recover and the Safety Car returns!

Game. On. 👊

#BrazilGP #F1 https://t.co/zL23ee7JMd",1822,185,2022-11-13 19:18:46+00:00
88,F1,"VIRTUAL SAFETY CAR (LAP 53/71)

Lando Norris pulls over, ending a heart-wrenching day for McLaren 😞

#BrazilGP #F1 https://t.co/KSWSyTZQKm",3060,257,2022-11-13 19:15:35+00:00
89,F1,"LAP 45/71

Hamilton piles the pressure on Perez for second place, and gets past into Turn 1 💪

#BrazilGP #F1 https://t.co/M8weYF7UZX",1988,197,2022-11-13 19:05:09+00:00
90,F1,"LAP 41/71

Leclerc is up to P9, with Verstappen now in P10, as both recover through the field 👀

#BrazilGP #F1 https://t.co/YSc7qYr8K9",1823,131,2022-11-13 18:59:51+00:00
91,F1,"Watch the moment Max Verstappen and Lewis Hamilton banged wheels after the restart 👀

#BrazilGP #F1

https://t.co/i4udfpA4ZD",1234,117,2022-11-13 18:52:23+00:00
92,F1,"40 LAPS REMAINING

Who's making the podium? Drop your predictions! 👇

🥇 -
🥈 -
🥉 -

#BrazilGP #F1 https://t.co/ml7mgXxNbb",1923,171,2022-11-13 18:47:41+00:00
93,F1,"LAP 30/71

Hamilton pits from the lead, and comes back out P4

Russell, Perez and Sainz now lead the way!

#BrazilGP #F1 https://t.co/K6VVUgFmzc",1571,120,2022-11-13 18:45:28+00:00
94,F1,"LAP 26/71

Lewis Hamilton is P1 in Brazil. ☝️

#BrazilGP #F1 https://t.co/NyJbd5CxVn",2983,275,2022-11-13 18:42:46+00:00
95,F1,"LAP 25/71

There's an absolute flurry of activity in pits!

Perez and Russell come in one lap apart, with Russell coming out just ahead of Vettel

#BrazilGP #F1 https://t.co/4ylHmf3Pj5",1444,119,2022-11-13 18:41:04+00:00
